id,xcentroid,ycentroid,RA,Dec,magnitude,observation_date,telescope,plate_center_RA_deg,plate_center_Dec_deg,band,mjd,link_id,observatory_code,mag_err,RA_err,Dec_err,image_frame_id,exposure_s,ml_probs
2813,3284.130939829289,2200.451781,344.63750114448897,20.44222543216549,18.648307652455898,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2813,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8570778432640054
2983,1320.0395483944474,2333.518621907763,345.22307650291793,20.408024457616733,18.397636020450992,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_2983,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9832098064616188
3003,18.150515772511838,2350.396123290205,345.61103782109046,20.404358474980118,19.776189914514678,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3003,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.37839884985515765
3076,2934.0881023822903,2385.973022,344.74219362098745,20.391088306727454,16.295452337924775,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3076,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.12917990328494577
3093,362.3305070915159,2399.0761935899372,345.5085064038644,20.390577198960184,20.921221510792854,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3093,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.060492985969866304
3210,1665.213454578357,2461.481988292758,345.12037346018457,20.371925003270498,25.23748719785588,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3210,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.009718752
3230,313.0831663,2477.5064867427413,345.5232200367684,20.368736953483634,17.137713684742273,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3230,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.17878391166456012
3239,1136.3816961457464,2482.579933814449,345.2779498066523,20.36663340022628,24.332181306039704,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3239,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9030445731501662
3253,2868.8997095890977,2493.221750008103,344.7618208649385,20.361269830360158,19.075263120399892,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3253,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9873653348041036
3268,1959.970609226055,2506.0770698595416,345.0326182970958,20.359098837387684,21.006413248037305,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3268,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.1567219423498138
3285,617.9676191624955,2515.2033397064683,345.43241625307706,20.358001598453274,20.710435423279176,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3285,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.6389727161463848
3311,3623.628130762863,2527.383953607893,344.53706998086375,20.35028983443302,21.91894855821285,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3311,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.060603277
3323,3722.9080020631372,2534.8174674869347,344.50751558544545,20.348006497982883,18.632641498021773,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3323,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7617176567363122
3405,3183.9263947182426,2588.635814095598,344.6681714965304,20.33406427264439,17.58344114826506,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3405,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999978895661236
3437,439.6079957837485,2617.7582886847736,345.4856078603962,20.32953379778691,21.913282494219715,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3437,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7432289124900197
3474,2658.2646815683133,2652.1277327967937,344.8248531371242,20.317280483916498,19.64409503159584,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3474,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.2926723668237862
3498,2933.175019483974,2663.436894546235,344.7430014673235,20.313647694305477,19.059943460370597,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3498,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8171861026669188
3530,1015.6708134854473,2682.561044053612,345.3140897924672,20.310967045152534,18.25858303976222,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3530,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9348310583965722
3558,2006.3198156485582,2703.397588844292,345.0190918787683,20.303975092587187,21.432920829111445,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3558,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.014195304
3583,667.9858692744256,2713.6056800482793,345.41765494210654,20.30262232236933,18.623492111542483,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3583,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8737371045223299
3604,1013.5412944365438,2727.891366499392,345.3147641088032,20.298323881160616,12.016800622853232,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3604,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9920508794324848
3638,358.8973153288312,2751.4513456895916,345.5097174577411,20.292304488988925,18.57178318217193,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3638,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.2982568524318185
3735,3055.0369102781574,2814.233801638175,344.70701010773814,20.271335095107126,18.690492426428925,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3735,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9184666572566673
3759,2309.0616063996017,2833.4086592349977,344.9291416,20.26724946387297,18.520646376131932,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3759,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.4424421271237668
3760,332.73631855730633,2833.968944165009,345.51754966815145,20.269308749456446,21.284222167275566,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3760,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.035193674
3791,3337.2399663169217,2855.9742104604684,344.6230813215244,20.259143105094292,19.38665285023672,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3791,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.986458051
3792,1080.9892312740665,2856.987595854827,345.29479774035093,20.262243151268567,18.81095659734665,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3792,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.42153944860504206
3828,365.6656609542814,2881.084761111581,345.5077709807221,20.256144602315114,20.818957016476954,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3828,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.812096434
3856,3287.9605739075187,2902.275268,344.63784944839415,20.246315252629397,23.908986802764964,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3856,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.12832788588169833
3857,3609.9976676570877,2901.193279459788,344.54198689829724,20.245964334447272,19.995532648928243,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3857,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8209357717985365
3921,265.31053033594543,2948.289550912663,345.5376778342586,20.237471601101838,21.525478552484394,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3921,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.012174406839537638
3924,3906.285913217123,2952.613217155652,344.4539198704613,20.230968876361437,19.829069829667304,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3924,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.8086410137795713
3953,2011.5400411940689,2974.953979153221,345.01792347847356,20.22819068981999,20.43259319634302,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3953,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.4682306192883622
3999,239.00056377340943,3008.726064993866,345.54553684653564,20.22063394870498,19.37406544583837,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_3999,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9949581862400636
4000,503.1521919252216,3008.920494699875,345.46691899983483,20.220385606266507,21.631774690863004,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4000,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.4919765430259258
4049,1449.2950789289434,3040.1996054542797,345.18535081211974,20.21072129414557,19.23829379448801,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4049,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.3064123812891426
4076,3494.400618209779,3057.1439229802495,344.5767425543409,20.20266792185502,14.622871434284797,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4076,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.16046130333346126
4108,4043.492315696754,3081.876648848682,344.4134094635108,20.194568983253575,18.127962052793286,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4108,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9662514342267414
4196,2655.2130031972556,3148.244994392685,344.8266396570323,20.178819243829487,18.13391475137049,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4196,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.28724473358166513
4267,1452.6918811509486,3195.1911721079014,345.1845122,20.167473059340747,18.516003842114714,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4267,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.7705656491982588
4343,1723.1277549158126,3247.7516463359134,345.1041138708748,20.152464760048144,17.865226788569007,2001-11-20T02:27:22,PALOM48,345.00809938901875,20.48903669705059,g,52233.10233796296,20011120022722c_4343,644,0.22,0.7580700867164033,0.6539945438043694,20011120022722c,20,0.9999958940735219
